,dAge,dMass,dSatXUVFrac,dSatXUVTime,dXUVBeta,dLRatioAge,dLXUVAge,dLbolAge,dRadiusAge,dTempAge
simulation_156,8.7096019982773,0.07587591966437839,-2.9502285526074448,10.008671713168315,-0.7359974659853543,893.093064608816,1.623571e-07,0.000145,0.091849,2086.056493
simulation_157,10.686659759101351,0.08683570591260857,-2.8359109975430474,1.2220490677377205,-1.3730825806312272,13458.946103619879,3.284061e-08,0.000442,0.10857,2546.796215
simulation_158,8.950593188561063,0.105969098060968,-2.573378197455141,11.615601694836329,-1.2674905027923449,374.2951132859393,2.797258e-06,0.001047,0.129848,2876.147329
simulation_159,10.193765575797801,0.07131015302725878,-3.1071695844204226,8.353556168747332,-1.117840271232669,1598.4148191991549,4.135932e-08,6.610935e-05,0.090655,1731.64807
simulation_160,6.244973030585568,0.09085631955640486,-2.743394200801112,10.648063851306393,-1.403426622151296,553.6071527936815,1.056706e-06,0.000585,0.114049,2664.74997
simulation_161,8.51464351571329,0.0711469184639658,-2.9021453233889902,4.741562304586718,-1.2472125787857598,1655.7421173443715,3.756158e-08,6.219229e-05,0.090597,1705.913446
simulation_162,9.404851098209988,0.10558715286107777,-2.8156179966573767,6.915773381535822,-0.7845472396752136,832.1412134000439,1.244981e-06,0.001036,0.129457,2872.593386
simulation_163,11.019181638003824,0.08892517584240488,-3.103020890131932,10.57577420861318,-1.35289194655067,1339.5937707851213,3.851914e-07,0.000516,0.111495,2611.878656
simulation_164,5.006530772794488,0.07376020500682867,-3.1637904711634386,2.7024015286136884,-0.7496338658974977,2312.1009925713556,4.411572e-08,0.000102,0.090481,1926.906754
simulation_165,4.0135256963999035,0.10147804113889243,-3.409632286985949,3.1864828841377664,-1.4115506622278882,3553.6312551588885,2.572017e-07,0.000914,0.125533,2829.826187
simulation_166,9.327406598544956,0.08561319369625703,-3.0251164989923995,9.009949923333343,-0.8028134076795407,1087.8910054971582,3.777952e-07,0.000411,0.106742,2522.615969
simulation_167,10.905110754037576,0.10534307206583432,-3.2575408301175472,8.976546769595174,-0.7283869530380099,2084.7078891533924,4.945537e-07,0.001031,0.129877,2867.619931
simulation_168,5.4868747104434314,0.0965529718387001,-3.004774919708796,8.512646483194128,-1.165715556469904,1011.6987962908626,7.531886e-07,0.000762,0.120325,2763.732105
simulation_169,6.307014898298903,0.08566128336657151,-2.6222657930031343,4.426093464186803,-1.0254237176492746,602.1058212672252,6.842651e-07,0.000412,0.106815,2523.108782
simulation_170,6.81285303359247,0.10591125553150273,-3.061921449159964,2.05591312451966,-1.0807296327164349,4207.329789710155,2.479007e-07,0.001043,0.129788,2874.535129
simulation_171,7.968560916734824,0.07584612677334195,-2.6793252082840118,5.782395113876272,-1.2966392487522518,722.4335173030353,1.993263e-07,0.000144,0.091815,2084.211653
simulation_172,8.840984612068832,0.09077457334577292,-2.8075244925712104,7.714365865795172,-1.6773336934179863,806.6874388682174,7.239483e-07,0.000584,0.113951,2663.99728
simulation_173,5.294786743772669,0.10852588275318062,-2.3063586731566104,11.891893539224641,-0.87326777358974,202.4635332717462,5.581252e-06,0.00113,0.132843,2899.864382
simulation_174,9.132542064221617,0.0996235512039812,-2.7265843318523864,5.290529732290778,-1.7020160339234809,1349.4600353247479,6.365509e-07,0.000859,0.123588,2806.8628
simulation_175,4.9008557033473865,0.10999071763505157,-2.8165494850333563,0.4855812653746837,-1.4933242588864957,20670.333177655004,5.761881e-08,0.001191,0.134986,2915.897917
simulation_176,5.684683921181513,0.09821267007062916,-3.4150108497770852,11.10142407606473,-1.2714817785857817,2600.0473900263205,3.12302e-07,0.000812,0.122073,2786.857086
simulation_177,7.041960826939447,0.09333597463306967,-2.860944199893052,11.93671302898689,-1.589650130989393,726.3608589146158,9.155229e-07,0.000665,0.116892,2713.915047
